"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.436252792E0,-6.246510315E-1,-3.897744598E0,9.875863037E0,1.063556640E1
2.446229792E0,-5.816903687E-1,-3.892505493E0,9.694739685E0,1.046317066E1
2.456207792E0,-5.162763977E-1,-3.930676117E0,9.664801941E0,1.044629851E1
2.466185792E0,-5.044509888E-1,-3.986959076E0,9.709409180E0,1.050823202E1
2.476163792E0,-5.111869812E-1,-3.968247986E0,9.844129028E0,1.062615549E1
2.486141792E0,-5.379812622E-1,-3.941453705E0,1.010219238E1,1.085719909E1
2.496119792E0,-5.089416504E-1,-3.923341370E0,1.038959473E1,1.111734265E1
2.506097792E0,-4.957690430E-1,-3.876339111E0,1.059227325E1,1.129017469E1
2.516075792E0,-5.370831299E-1,-3.804039459E0,1.093940140E1,1.159438129E1
2.526053792E0,-4.718188477E-1,-3.680845642E0,1.146989822E1,1.205528112E1
2.536031792E0,-3.905378723E-1,-3.573369141E0,1.202539307E1,1.255115792E1
2.546008792E0,-4.272116089E-1,-3.494782562E0,1.246398102E1,1.295171177E1
2.555986792E0,-3.857478333E-1,-3.406017151E0,1.268192780E1,1.313701057E1
2.565964792E0,-2.841091919E-1,-3.373534698E0,1.283221527E1,1.327129244E1
2.575942792E0,-4.724176025E-1,-3.363355865E0,1.270976990E1,1.315574369E1
2.585920792E0,-7.429051208E-1,-3.335663452E0,1.211251190E1,1.258536862E1
2.595898792E0,-7.920030212E-1,-3.363505554E0,1.148801056E1,1.199645052E1
2.605876792E0,-8.529263306E-1,-3.254382477E0,1.148621429E1,1.196877636E1
2.615854792E0,-8.497828674E-1,-3.037932587E0,1.156794434E1,1.199035035E1
2.625832792E0,-5.529501343E-1,-2.680924988E0,1.148771118E1,1.180934464E1
2.635810792E0,-3.384461975E-1,-2.198478241E0,1.150058441E1,1.171372247E1
2.645788792E0,-2.507286072E-1,-1.617087250E0,1.114896561E1,1.126841915E1
2.655765792E0,-2.194436646E-1,-1.195563812E0,1.074779984E1,1.081631775E1
2.665743792E0,-3.667373657E-2,-6.704557800E-1,1.050485504E1,1.052629257E1
2.675721792E0,1.263372803E-1,-1.350192261E-1,1.021131546E1,1.021298951E1
2.685699792E0,2.616558838E-1,3.124003601E-1,9.358538818E0,9.367406610E0
2.695677792E0,3.676354980E-1,1.033151550E0,8.468639374E0,8.539344871E0
2.705655792E0,4.272116089E-1,1.798959045E0,7.450606384E0,7.676607252E0
2.715633792E0,5.104385376E-1,2.482737122E0,6.742728424E0,7.203396263E0
2.725611792E0,5.751040649E-1,2.932102661E0,6.897057495E0,7.516473428E0
2.735589792E0,6.357279968E-1,3.352877655E0,6.790179749E0,7.599505226E0
2.745567792E0,5.581892395E-1,3.907324677E0,7.098987579E0,8.122461819E0
2.755544792E0,1.386117554E-1,4.356839905E0,7.592511292E0,8.754855503E0
2.765522792E0,-4.775070190E-1,4.516557770E0,7.549999695E0,8.810777629E0
2.775500792E0,-6.719526672E-1,4.533771973E0,7.470964050E0,8.764811038E0
2.785478792E0,-5.186714172E-1,4.582121429E0,7.475604401E0,8.783479834E0
2.795456792E0,-2.300715637E-1,4.678670654E0,7.344177704E0,8.710903407E0
2.805434792E0,-3.427871704E-2,4.889282684E0,7.159910889E0,8.670097124E0
2.815412792E0,1.276844788E-1,5.121898956E0,7.083270264E0,8.742017494E0
2.825390792E0,2.395019531E-1,5.335953827E0,6.971752167E0,8.782658635E0
2.835368792E0,1.983375549E-1,5.567522278E0,6.713539124E0,8.724004222E0
2.845346792E0,2.070195007E-1,5.725294189E0,6.443800049E0,8.622320436E0
2.855324792E0,2.960842896E-1,5.868845673E0,6.182892609E0,8.529898970E0
2.865301792E0,3.498225403E-1,6.062542877E0,6.072572021E0,8.587952777E0
2.875279792E0,3.143463135E-1,6.223158875E0,6.412515106E0,8.941301358E0
2.885257792E0,1.425036621E-1,6.373745728E0,6.490203552E0,9.097674650E0
2.895235792E0,5.224136353E-2,6.512507172E0,6.498586121E0,9.200385883E0
2.905213792E0,1.942959595E-1,6.557563477E0,6.681356049E0,9.363755033E0
2.915191792E0,2.164498901E-1,6.558760986E0,6.509363708E0,9.243160289E0
2.925169792E0,2.077679443E-1,6.659202118E0,6.121220856E0,9.047512649E0
2.935147792E0,1.836680603E-1,6.793921967E0,5.789660339E0,8.928117186E0
2.945125792E0,2.769241333E-2,6.918612671E0,5.487438812E0,8.830625849E0
2.955103792E0,-1.589694214E-1,7.029082947E0,5.168601837E0,8.726266286E0
2.965080792E0,-3.103047180E-1,7.035669250E0,5.039121094E0,8.659657743E0
2.975058792E0,-3.496728516E-1,7.095095673E0,5.004093933E0,8.689281317E0
2.985036792E0,-3.698808289E-1,7.202123108E0,4.990322571E0,8.769875053E0
2.995014792E0,-3.062631226E-1,7.259453888E0,5.248685303E0,8.963379121E0
3.004992792E0,-1.014889526E-1,7.320227509E0,5.370232544E0,9.079395815E0
3.014970792E0,-9.879455566E-2,7.343878326E0,5.300926666E0,9.057711232E0
3.024948792E0,-2.112107849E-1,7.429200897E0,5.348827057E0,9.156832796E0
3.034926792E0,-3.420387268E-1,7.459737396E0,5.437742157E0,9.237624818E0
3.044904792E0,-3.764671326E-1,7.480544128E0,5.610932007E0,9.358569653E0
3.054882792E0,-3.649411011E-1,7.481292572E0,5.892197113E0,9.530000387E0
3.064859792E0,-3.146456909E-1,7.489675140E0,6.168971558E0,9.708266874E0
3.074837792E0,-2.326162720E-1,7.507338409E0,6.320755920E0,9.816628532E0
3.084815792E0,-2.365081787E-1,7.464976501E0,6.479725342E0,9.887803133E0
3.094793792E0,-2.502795410E-1,7.429500275E0,6.662195892E0,9.982232630E0
3.104771792E0,-1.463955688E-1,7.431895294E0,6.831044769E0,1.009542827E1
3.114749792E0,-5.568420410E-2,7.439230042E0,7.002588043E0,1.021672568E1
3.124727792E0,-2.140548706E-2,7.461683350E0,7.070696411E0,1.027968503E1
3.134705792E0,6.885681152E-2,7.514673157E0,7.063062286E0,1.031319072E1
3.144683792E0,3.173400879E-2,7.499404907E0,7.104975128E0,1.033067048E1
3.154661792E0,4.266128540E-2,7.498806152E0,7.120692444E0,1.034109156E1
3.164638792E0,1.004411316E-1,7.555089111E0,6.996301117E0,1.029746033E1
3.174616792E0,2.724334717E-2,7.616012421E0,6.779252472E0,1.019620770E1
3.184594792E0,-8.187973022E-2,7.617808685E0,6.587501221E0,1.007138947E1
3.194572792E0,-1.106199646E-1,7.523504791E0,6.521937561E0,9.957461055E0
3.204550792E0,-2.380050659E-2,7.504943390E0,6.372847595E0,9.845706080E0
3.214528792E0,8.128097534E-2,7.497009888E0,6.181844788E0,9.717354004E0
3.224506792E0,1.634600830E-1,7.439679108E0,6.002667389E0,9.560730108E0
